collect_time,cpu_util
2023/6/17 0:01,43.24
2023/6/17 0:06,35.83
2023/6/17 0:11,27.75
2023/6/17 0:17,13.67
2023/6/17 0:22,25.42
2023/6/17 0:26,18.56
2023/6/17 0:32,15.19
2023/6/17 0:36,17.64
2023/6/17 0:41,23.66
2023/6/17 0:46,9.14
2023/6/17 0:52,18.11
2023/6/17 0:57,14.63
2023/6/17 1:03,71.94
2023/6/17 1:07,24.81
2023/6/17 1:12,40.41
2023/6/17 1:16,36.53
2023/6/17 1:22,19.94
2023/6/17 1:26,15.06
2023/6/17 1:32,33.7
2023/6/17 1:37,57.49
2023/6/17 1:41,56.9
2023/6/17 1:46,27.09
2023/6/17 1:51,37.17
2023/6/17 1:57,32.15
2023/6/17 2:01,19.27
2023/6/17 2:07,59.59
2023/6/17 2:11,63.05
2023/6/17 2:16,58.5
2023/6/17 2:22,33.63
2023/6/17 2:27,31.45
2023/6/17 2:32,45.11
2023/6/17 2:36,84.19
2023/6/17 2:42,47.68
2023/6/17 2:46,25.07
2023/6/17 2:51,29.18
2023/6/17 2:57,47.48
2023/6/17 3:01,24.22
2023/6/17 3:07,40.72
2023/6/17 3:11,67.82
2023/6/17 3:17,46.59
2023/6/17 3:22,47.14
2023/6/17 3:27,31.82
2023/6/17 3:32,45.06
2023/6/17 3:36,49.36
2023/6/17 3:41,34.32
2023/6/17 3:46,13.69
2023/6/17 3:51,18.6
2023/6/17 3:57,35.95
2023/6/17 4:02,42.49
2023/6/17 4:06,69.28
2023/6/17 4:13,58.6
2023/6/17 4:16,58.46
2023/6/17 4:21,37.36
2023/6/17 4:27,70.22
2023/6/17 4:32,51.32
2023/6/17 4:36,28.11
2023/6/17 4:41,39.79
2023/6/17 4:47,44.24
2023/6/17 4:53,75.87
2023/6/17 4:57,83.92
2023/6/17 5:01,85.82
2023/6/17 5:08,72.5
2023/6/17 5:13,79.27
2023/6/17 5:16,78.77
2023/6/17 5:22,49.2
2023/6/17 5:26,84.87
2023/6/17 5:31,86.35
2023/6/17 5:37,74.98
2023/6/17 5:41,75.14
2023/6/17 5:48,78.11
2023/6/17 5:51,21
2023/6/17 5:56,50.4
2023/6/17 6:03,58.37
2023/6/17 6:07,61.73
2023/6/17 6:11,28.45
2023/6/17 6:16,37.39
2023/6/17 6:21,46.42
2023/6/17 6:28,79.08
2023/6/17 6:31,77.95
2023/6/17 6:38,76.15
2023/6/17 6:41,86.37
2023/6/17 6:48,80.06
2023/6/17 6:52,77.53
2023/6/17 6:58,79.3
2023/6/17 7:01,84.02
2023/6/17 7:08,73.56
2023/6/17 7:12,63.08
2023/6/17 7:17,72.7
2023/6/17 7:22,82.53
2023/6/17 7:26,84.65
2023/6/17 7:32,76.91
2023/6/17 7:37,76.35
2023/6/17 7:42,66.02
2023/6/17 7:47,72.9
2023/6/17 7:52,61.35
2023/6/17 7:57,69.43
2023/6/17 8:03,67.51
2023/6/17 8:06,85.2
2023/6/17 8:12,78.85
2023/6/17 8:17,82.45
2023/6/17 8:21,71.67
2023/6/17 8:28,66.42
2023/6/17 8:32,65.44
2023/6/17 8:36,58.63
2023/6/17 8:42,47.5
2023/6/17 8:46,52.05
2023/6/17 8:53,63.93
2023/6/17 8:57,32.93
2023/6/17 9:02,39.25
2023/6/17 9:08,73.81
2023/6/17 9:12,51.19
2023/6/17 9:17,68.95
2023/6/17 9:21,67.03
2023/6/17 9:26,34.77
2023/6/17 9:31,44.71
2023/6/17 9:36,75.34
2023/6/17 9:42,56.35
2023/6/17 9:46,44.12
2023/6/17 9:51,15.27
2023/6/17 9:58,20.57
2023/6/17 10:02,38.8
2023/6/17 10:07,61.62
2023/6/17 10:12,50.98
2023/6/17 10:16,51.18
2023/6/17 10:22,75.33
2023/6/17 10:26,47.31
2023/6/17 10:31,36.53
2023/6/17 10:36,18.31
2023/6/17 10:42,17.88
2023/6/17 10:47,17.55
2023/6/17 10:52,45.2
2023/6/17 10:57,28.94
2023/6/17 11:02,32.12
2023/6/17 11:08,56.96
2023/6/17 11:12,48.73
2023/6/17 11:16,26.62
2023/6/17 11:21,55.49
2023/6/17 11:27,74.08
2023/6/17 11:32,67.44
2023/6/17 11:36,66.33
2023/6/17 11:42,65.08
2023/6/17 11:47,56.88
2023/6/17 11:52,16
2023/6/17 11:57,31.61
2023/6/17 12:01,26.64
2023/6/17 12:07,13.8
2023/6/17 12:12,8.2
2023/6/17 12:17,23.49
2023/6/17 12:22,11.09
2023/6/17 12:27,5.03
2023/6/17 12:31,8
2023/6/17 12:37,11.96
2023/6/17 12:42,8.08
2023/6/17 12:47,8.63
2023/6/17 12:51,10.33
2023/6/17 12:56,8.87
2023/6/17 13:01,32.4
2023/6/17 13:07,38.49
2023/6/17 13:12,23.54
2023/6/17 13:17,19.66
2023/6/17 13:22,19.9
2023/6/17 13:27,10.69
2023/6/17 13:32,15.69
2023/6/17 13:37,54.55
2023/6/17 13:42,66.85
2023/6/17 13:47,64.91
2023/6/17 13:52,66.22
2023/6/17 13:56,66.41
2023/6/17 14:01,70.46
2023/6/17 14:07,48.49
2023/6/17 14:11,14.39
2023/6/17 14:16,13.29
2023/6/17 14:21,12.89
2023/6/17 14:26,9.07
2023/6/17 14:32,13.02
2023/6/17 14:36,17.48
2023/6/17 14:42,10.56
2023/6/17 14:47,7.87
2023/6/17 14:51,27.38
2023/6/17 14:56,43.09
2023/6/17 15:02,21.82
2023/6/17 15:07,23.8
2023/6/17 15:11,15.5
2023/6/17 15:17,25.36
2023/6/17 15:21,21.83
2023/6/17 15:27,17.63
2023/6/17 15:31,18.62
2023/6/17 15:37,18.48
2023/6/17 15:41,13.65
2023/6/17 15:47,8.26
2023/6/17 15:52,11.13
2023/6/17 15:57,19.35
2023/6/17 16:01,40.77
2023/6/17 16:07,48
2023/6/17 16:11,27.93
2023/6/17 16:16,40.9
2023/6/17 16:21,12.12
2023/6/17 16:26,6.76
2023/6/17 16:31,6.03
2023/6/17 16:36,13.21
2023/6/17 16:41,5.12
2023/6/17 16:47,5.57
2023/6/17 16:51,14.57
2023/6/17 16:56,9.4
2023/6/17 17:02,51.28
2023/6/17 17:06,40.64
2023/6/17 17:11,28.32
2023/6/17 17:17,20.99
2023/6/17 17:21,15.25
2023/6/17 17:27,21.94
2023/6/17 17:32,17.35
2023/6/17 17:37,20
2023/6/17 17:42,12.1
2023/6/17 17:46,8.88
2023/6/17 17:53,22.57
2023/6/17 17:56,33.89
