collect_time,cpu_util
2023/6/17 0:04,68.03
2023/6/17 0:04,62.64
2023/6/17 0:13,65.12
2023/6/17 0:14,67.15
2023/6/17 0:24,61.67
2023/6/17 0:30,59.52
2023/6/17 0:38,58.08
2023/6/17 0:39,56.98
2023/6/17 0:45,56.16
2023/6/17 1:07,53.11
2023/6/17 1:09,50.32
2023/6/17 1:18,49.18
2023/6/17 1:20,46.79
2023/6/17 1:38,41.37
2023/6/17 1:42,40.84
2023/6/17 1:44,40.26
2023/6/17 1:53,38.62
2023/6/17 1:58,35.75
2023/6/17 1:59,34.22
2023/6/17 2:04,33.76
2023/6/17 2:15,31.23
2023/6/17 2:23,29.18
2023/6/17 2:28,27.26
2023/6/17 2:30,25.58
2023/6/17 2:38,25.36
2023/6/17 2:50,23.24
2023/6/17 2:55,21.93
2023/6/17 3:03,21.72
2023/6/17 3:05,21.42
2023/6/17 3:28,18.67
2023/6/17 3:29,18.59
2023/6/17 3:35,17.37
2023/6/17 3:41,17.47
2023/6/17 3:48,16.89
2023/6/17 3:50,16.44
2023/6/17 4:05,15.81
2023/6/17 4:09,15.41
2023/6/17 4:15,14.88
2023/6/17 4:19,15.29
2023/6/17 4:26,15.32
2023/6/17 4:39,14.46
2023/6/17 4:45,15.11
2023/6/17 4:50,14.41
2023/6/17 4:58,14.77
2023/6/17 5:03,15.4
2023/6/17 5:05,15.37
2023/6/17 5:15,15.36
2023/6/17 5:23,15.95
2023/6/17 5:27,16.03
2023/6/17 5:33,17.03
2023/6/17 5:38,18.1
2023/6/17 5:43,17.86
2023/6/17 5:55,19.64
2023/6/17 5:59,19.97
2023/6/17 6:09,22.35
2023/6/17 6:13,23.39
2023/6/17 6:16,23.76
2023/6/17 6:20,25.09
2023/6/17 6:29,27.22
2023/6/17 6:32,27.99
2023/6/17 6:39,30.62
2023/6/17 6:43,31.98
2023/6/17 6:44,33
2023/6/17 6:53,34.98
2023/6/17 7:02,39.52
2023/6/17 7:07,42.59
2023/6/17 7:13,43.68
2023/6/17 7:18,41.85
2023/6/17 7:20,41.59
2023/6/17 7:24,43.95
2023/6/17 7:29,44.04
2023/6/17 7:38,47.39
2023/6/17 7:40,46.43
2023/6/17 7:45,50.62
2023/6/17 7:53,54.3
2023/6/17 7:55,54.65
2023/6/17 8:03,54.93
2023/6/17 8:05,57.07
2023/6/17 8:10,58.97
2023/6/17 8:14,56.23
2023/6/17 8:19,57.62
2023/6/17 8:24,60.08
2023/6/17 8:34,60.12
2023/6/17 8:37,59.06
2023/6/17 8:44,59.23
2023/6/17 8:58,61.24
2023/6/17 9:03,61.33
2023/6/17 9:08,62.7
2023/6/17 9:10,62.26
2023/6/17 9:18,64.55
2023/6/17 9:20,64.15
2023/6/17 9:33,62.48
2023/6/17 9:38,63.83
2023/6/17 9:43,64.29
2023/6/17 9:44,65.08
2023/6/17 9:50,63.45
2023/6/17 9:54,63.22
2023/6/17 10:08,64.62
2023/6/17 10:13,63.41
2023/6/17 10:14,63.19
2023/6/17 10:23,64.19
2023/6/17 10:28,64.55
2023/6/17 10:31,67.78
2023/6/17 10:45,64.28
2023/6/17 10:54,64.42
2023/6/17 10:55,65.28
2023/6/17 10:56,65.56
2023/6/17 11:00,64.75
2023/6/17 11:05,64.69
2023/6/17 11:15,69.52
2023/6/17 11:20,65.19
2023/6/17 11:26,66.19
2023/6/17 11:29,66.93
2023/6/17 11:35,67.01
2023/6/17 11:41,68.36
2023/6/17 11:53,68.1
2023/6/17 11:55,69.67
2023/6/17 12:03,67.09
2023/6/17 12:05,69.88
2023/6/17 12:12,61.68
2023/6/17 12:18,63.53
2023/6/17 12:20,62.26
2023/6/17 12:29,65.05
2023/6/17 12:34,65.55
2023/6/17 12:38,65.19
2023/6/17 12:42,66.79
2023/6/17 12:48,65.78
2023/6/17 12:54,67
2023/6/17 12:57,66.32
2023/6/17 13:06,66.7
2023/6/17 13:08,67.22
2023/6/17 13:13,68.24
2023/6/17 13:18,66.08
2023/6/17 13:20,66.53
2023/6/17 13:28,69.56
2023/6/17 13:30,62.81
2023/6/17 13:43,68.5
2023/6/17 13:48,68.29
2023/6/17 13:49,69.43
2023/6/17 13:55,69.05
2023/6/17 14:03,68.25
2023/6/17 14:05,68.13
2023/6/17 14:18,66.58
2023/6/17 14:23,68.02
2023/6/17 14:28,67.3
2023/6/17 14:30,65.27
2023/6/17 14:38,65.95
2023/6/17 14:40,62.7
2023/6/17 14:45,65.36
2023/6/17 14:54,66.24
2023/6/17 14:56,64.04
2023/6/17 15:03,65
2023/6/17 15:05,63.61
2023/6/17 15:13,65.67
2023/6/17 15:19,66.15
2023/6/17 15:23,64.72
2023/6/17 15:25,65.54
2023/6/17 15:33,67.25
2023/6/17 15:35,64.41
2023/6/17 15:44,66.77
2023/6/17 15:49,65.27
2023/6/17 15:52,66.59
2023/6/17 15:58,65.3
2023/6/17 16:00,67.76
2023/6/17 16:07,67.11
2023/6/17 16:10,63.38
2023/6/17 16:18,65.56
2023/6/17 16:24,65.57
2023/6/17 16:25,65.37
2023/6/17 16:30,65.32
2023/6/17 16:43,65.58
2023/6/17 16:49,67.05
2023/6/17 17:00,68.58
2023/6/17 17:02,65.37
2023/6/17 17:12,66.24
2023/6/17 17:21,65.37
2023/6/17 17:23,67.17
2023/6/17 17:27,65.8
2023/6/17 17:33,69.32
2023/6/17 17:37,69.23
2023/6/17 17:43,69.33
2023/6/17 17:47,69.82
2023/6/17 17:53,68.75
2023/6/17 17:55,71.2
2023/6/17 17:59,69.5
2023/6/17 18:05,68.57
2023/6/17 18:09,70.69
2023/6/17 18:18,69.01
2023/6/17 18:24,69.11
2023/6/17 18:33,68.3
2023/6/17 18:40,67.42
2023/6/17 18:44,69.09
2023/6/17 18:50,66.39
2023/6/17 18:51,67.49
2023/6/17 18:55,68.84
2023/6/17 19:09,67.73
2023/6/17 19:15,68.05
2023/6/17 19:20,68.04
2023/6/17 19:24,67.15
2023/6/17 19:33,66.82
2023/6/17 19:43,67.84
2023/6/17 19:45,66.2
2023/6/17 19:53,66.6
2023/6/17 19:58,68.84
2023/6/17 20:04,67.31
2023/6/17 20:05,67.94
2023/6/17 20:18,67.97
2023/6/17 20:20,70.32
2023/6/17 20:28,63.88
2023/6/17 20:33,67.74
2023/6/17 20:35,65.78
2023/6/17 20:40,64.09
2023/6/17 20:49,66.37
2023/6/17 20:58,70.98
2023/6/17 21:03,67.33
2023/6/17 21:04,69.43
2023/6/17 21:13,67.48
2023/6/17 21:18,69.25
2023/6/17 21:19,69.73
2023/6/17 21:24,67.93
2023/6/17 21:29,67.23
2023/6/17 21:34,69.21
2023/6/17 21:43,68.63
2023/6/17 21:45,68.09
2023/6/17 21:50,67.88
2023/6/17 21:56,69.69
2023/6/17 22:08,68.84
