collect_time,cpu_util
2023/6/17 0:04,8.1
2023/6/17 0:09,7.94
2023/6/17 0:13,8.51
2023/6/17 0:19,8.13
2023/6/17 0:23,8.09
2023/6/17 0:29,7.98
2023/6/17 0:33,8.76
2023/6/17 0:39,7.93
2023/6/17 0:44,8.03
2023/6/17 0:49,7.87
2023/6/17 0:54,8.06
2023/6/17 0:58,7.85
2023/6/17 1:03,8.21
2023/6/17 1:09,7.81
2023/6/17 1:14,8.49
2023/6/17 1:18,8.02
2023/6/17 1:24,7.95
2023/6/17 1:29,8.04
2023/6/17 1:34,8.72
2023/6/17 1:38,8.06
2023/6/17 1:44,9.02
2023/6/17 1:49,7.89
2023/6/17 1:54,8.16
2023/6/17 1:59,8.1
2023/6/17 2:04,8.06
2023/6/17 2:09,7.98
2023/6/17 2:13,8.44
2023/6/17 2:19,7.96
2023/6/17 2:24,8.02
2023/6/17 2:29,8.74
2023/6/17 2:33,8.12
2023/6/17 2:39,7.79
2023/6/17 2:43,8.05
2023/6/17 2:48,7.93
2023/6/17 2:53,8.02
2023/6/17 2:59,7.86
2023/6/17 3:04,7.93
2023/6/17 3:09,7.96
2023/6/17 3:14,8.24
2023/6/17 3:19,8.03
2023/6/17 3:23,7.96
2023/6/17 3:29,9.75
2023/6/17 3:34,8.02
2023/6/17 3:39,8.06
2023/6/17 3:44,7.99
2023/6/17 3:48,7.9
2023/6/17 3:54,8.02
2023/6/17 3:59,7.88
2023/6/17 4:03,8.16
2023/6/17 4:09,7.87
2023/6/17 4:14,8.32
2023/6/17 4:19,7.95
2023/6/17 4:23,8.17
2023/6/17 4:28,8.07
2023/6/17 4:34,8.46
2023/6/17 4:39,7.95
2023/6/17 4:44,7.88
2023/6/17 4:49,7.87
2023/6/17 4:54,8
2023/6/17 4:59,7.94
2023/6/17 5:03,8.14
2023/6/17 5:09,7.88
2023/6/17 5:13,8.85
2023/6/17 5:19,7.9
2023/6/17 5:24,7.93
2023/6/17 5:29,7.98
2023/6/17 5:33,8.98
2023/6/17 5:38,7.8
2023/6/17 5:44,7.97
2023/6/17 5:49,7.79
2023/6/17 5:53,8.05
2023/6/17 5:58,7.97
