collect_time,cpu_util
2023/6/17 0:03,2.13
2023/6/17 0:07,6.58
2023/6/17 0:11,18.5
2023/6/17 0:16,23.54
2023/6/17 0:23,20.85
2023/6/17 0:33,19.53
2023/6/17 0:38,37.27
2023/6/17 0:42,29.8
2023/6/17 0:48,33.1
2023/6/17 0:52,36.53
2023/6/17 0:57,38.28
2023/6/17 1:08,24.91
2023/6/17 1:12,53.45
2023/6/17 1:18,54.53
2023/6/17 1:22,47.32
2023/6/17 1:27,44.44
2023/6/17 1:33,37.75
2023/6/17 1:47,14.02
2023/6/17 1:52,11.55
2023/6/17 1:57,22.91
2023/6/17 2:01,44.39
2023/6/17 2:07,45.96
2023/6/17 2:12,51.23
2023/6/17 2:23,49.29
2023/6/17 2:28,22.93
2023/6/17 2:33,13.2
2023/6/17 2:37,14.68
2023/6/17 2:42,21.49
2023/6/17 3:02,23.85
2023/6/17 3:07,31.02
2023/6/17 3:12,55.12
2023/6/17 3:17,27.34
2023/6/17 3:22,7.92
2023/6/17 3:38,7.71
2023/6/17 3:42,4.21
2023/6/17 3:47,0.14
2023/6/17 3:53,16.68
2023/6/17 3:57,25.66
2023/6/17 4:03,33.32
2023/6/17 4:17,36.45
2023/6/17 4:21,24.77
2023/6/17 4:28,15.17
2023/6/17 4:33,33.97
2023/6/17 4:37,45.47
2023/6/17 4:52,31.34
2023/6/17 4:57,5.22
2023/6/17 5:03,0.55
2023/6/17 5:08,41.03
2023/6/17 5:13,47.65
2023/6/17 5:16,48.78
2023/6/17 5:27,31.23
2023/6/17 5:33,30.17
2023/6/17 5:37,3.33
2023/6/17 5:42,0.14
2023/6/17 5:47,0.15
2023/6/17 5:53,12.98
2023/6/17 5:56,30.16
2023/6/17 6:07,48.87
2023/6/17 6:12,46.52
2023/6/17 6:17,40.59
2023/6/17 6:23,32.78
2023/6/17 6:27,4.95
2023/6/17 6:33,20.53
2023/6/17 6:42,36.21
2023/6/17 6:47,39.84
2023/6/17 6:52,37
2023/6/17 6:58,27.1
2023/6/17 7:02,30.4
2023/6/17 7:07,12.86
2023/6/17 7:12,24.02
2023/6/17 7:17,6.05
2023/6/17 7:22,17.38
2023/6/17 7:28,30.66
2023/6/17 7:33,35.39
2023/6/17 7:38,50.75
2023/6/17 7:41,29.33
2023/6/17 7:48,34.77
2023/6/17 7:57,2.81
2023/6/17 8:02,14.78
2023/6/17 8:07,40.85
2023/6/17 8:12,35.57
2023/6/17 8:18,37.51
2023/6/17 8:22,45.26
2023/6/17 8:27,28.72
2023/6/17 8:32,42.7
2023/6/17 8:37,16.99
2023/6/17 8:42,3.89
2023/6/17 8:47,3.22
2023/6/17 8:53,11.37
2023/6/17 8:57,29.7
2023/6/17 9:02,27.75
2023/6/17 9:08,37.75
2023/6/17 9:13,36.61
2023/6/17 9:17,29.05
2023/6/17 9:22,33.61
2023/6/17 9:28,27.55
2023/6/17 9:32,4.38
2023/6/17 9:37,3.77
2023/6/17 9:47,1.49
2023/6/17 9:53,1.29
2023/6/17 9:58,1.51
2023/6/17 10:03,9.97
2023/6/17 10:07,22.16
2023/6/17 10:12,32.92
2023/6/17 10:17,14.21
2023/6/17 10:23,1.13
2023/6/17 10:28,1.12
2023/6/17 10:32,17.08
2023/6/17 10:37,41.77
2023/6/17 10:42,43.67
2023/6/17 10:47,42.63
2023/6/17 11:03,4.01
2023/6/17 11:07,17.86
2023/6/17 11:13,25.74
2023/6/17 11:17,23.07
2023/6/17 11:22,22.2
2023/6/17 11:27,30.91
2023/6/17 11:32,47.6
2023/6/17 11:37,48.83
2023/6/17 11:42,50.83
2023/6/17 11:48,31.9
2023/6/17 11:53,3.83
2023/6/17 11:58,2.06
2023/6/17 12:02,1.96
2023/6/17 12:17,10.71
2023/6/17 12:23,6.76
2023/6/17 12:27,7.84
2023/6/17 12:33,3.23
2023/6/17 12:37,2.85
2023/6/17 12:42,2.8
2023/6/17 12:53,3.61
2023/6/17 12:57,3.16
2023/6/17 13:03,6.04
2023/6/17 13:08,22.98
2023/6/17 13:12,36.87
2023/6/17 13:17,20.26
2023/6/17 13:23,12.34
2023/6/17 13:27,11.57
2023/6/17 13:33,12.09
2023/6/17 13:38,12.36
