collect_time,cpu_util
2023/6/17 0:01,16.45
2023/6/17 0:06,16.42
2023/6/17 0:11,15.76
2023/6/17 0:16,15.03
2023/6/17 0:21,14.68
2023/6/17 0:25,14.22
2023/6/17 0:31,13.79
2023/6/17 0:35,13.68
2023/6/17 0:40,13.25
2023/6/17 0:46,12.85
2023/6/17 0:51,12.5
2023/6/17 0:56,12.03
2023/6/17 1:01,11.59
2023/6/17 1:05,12.47
2023/6/17 1:11,12.15
2023/6/17 1:16,13.79
2023/6/17 1:20,11.37
2023/6/17 1:25,10.96
2023/6/17 1:30,11.75
2023/6/17 1:36,10.59
2023/6/17 1:41,10.2
2023/6/17 1:46,9.83
2023/6/17 1:50,9.57
2023/6/17 1:56,9.35
2023/6/17 2:01,9.13
2023/6/17 2:06,8.82
2023/6/17 2:10,8.67
2023/6/17 2:15,8.51
2023/6/17 2:21,8.28
2023/6/17 2:25,7.93
2023/6/17 2:30,7.8
2023/6/17 2:36,7.66
2023/6/17 2:40,7.44
2023/6/17 2:45,7.35
2023/6/17 2:50,7.19
2023/6/17 2:56,6.86
2023/6/17 3:00,6.61
2023/6/17 3:06,6.64
2023/6/17 3:10,6.41
2023/6/17 3:16,6.35
2023/6/17 3:21,6.13
2023/6/17 3:26,5.93
2023/6/17 3:30,5.89
2023/6/17 3:36,5.76
2023/6/17 3:41,5.69
2023/6/17 3:45,5.74
2023/6/17 3:50,6.55
2023/6/17 3:56,5.36
2023/6/17 4:01,5.28
2023/6/17 4:05,5.18
2023/6/17 4:11,6.14
2023/6/17 4:16,5.28
2023/6/17 4:20,5.09
2023/6/17 4:26,5
2023/6/17 4:31,5.03
2023/6/17 4:36,4.99
2023/6/17 4:40,5.06
2023/6/17 4:45,5.19
2023/6/17 4:51,5.1
2023/6/17 4:55,5.08
2023/6/17 5:00,5.15
2023/6/17 5:05,5.43
2023/6/17 5:10,5.54
2023/6/17 5:16,5.51
2023/6/17 5:21,5.53
2023/6/17 5:26,6.7
2023/6/17 5:31,5.77
2023/6/17 5:35,5.92
2023/6/17 5:41,7.06
2023/6/17 5:46,7.46
2023/6/17 5:51,6.49
2023/6/17 5:56,6.67
2023/6/17 6:01,7.03
2023/6/17 6:06,8.69
2023/6/17 6:10,7.5
2023/6/17 6:16,7.86
2023/6/17 6:21,8.05
2023/6/17 6:26,8.28
2023/6/17 6:31,8.65
2023/6/17 6:35,9.04
2023/6/17 6:40,9.17
2023/6/17 6:45,9.53
2023/6/17 6:50,9.76
2023/6/17 6:55,10.04
2023/6/17 7:01,10.47
2023/6/17 7:05,11.27
2023/6/17 7:10,11.15
2023/6/17 7:16,11.4
2023/6/17 7:21,11.73
2023/6/17 7:25,12.03
2023/6/17 7:30,12.27
2023/6/17 7:35,12.7
2023/6/17 7:40,12.84
2023/6/17 7:46,13.18
2023/6/17 7:51,13.27
2023/6/17 7:55,14.23
2023/6/17 8:01,13.98
2023/6/17 8:05,14.38
2023/6/17 8:10,14.44
2023/6/17 8:16,14.74
2023/6/17 8:20,14.76
2023/6/17 8:26,14.7
2023/6/17 8:31,14.87
2023/6/17 8:36,14.93
2023/6/17 8:41,15.02
2023/6/17 8:45,15.01
2023/6/17 8:50,15.84
2023/6/17 8:56,15.64
2023/6/17 9:01,14.88
2023/6/17 9:05,15.52
2023/6/17 9:11,15.16
2023/6/17 9:15,15.35
2023/6/17 9:21,15.25
2023/6/17 9:25,15.58
2023/6/17 9:30,15.6
2023/6/17 9:35,15.46
2023/6/17 9:40,15.4
2023/6/17 9:45,15.49
2023/6/17 9:51,15.34
2023/6/17 9:56,15.67
2023/6/17 10:01,15.99
2023/6/17 10:05,16.26
2023/6/17 10:11,16.03
2023/6/17 10:15,15.91
2023/6/17 10:20,15.78
2023/6/17 10:26,16
2023/6/17 10:31,16.16
2023/6/17 10:36,15.98
2023/6/17 10:40,16.04
2023/6/17 10:45,15.96
2023/6/17 10:50,16.08
2023/6/17 10:56,15.97
2023/6/17 11:01,16.04
2023/6/17 11:06,16.5
2023/6/17 11:10,16.21
2023/6/17 11:15,16.19
2023/6/17 11:20,16.33
2023/6/17 11:26,16.74
2023/6/17 11:31,17.01
2023/6/17 11:35,16.79
2023/6/17 11:40,17.2
2023/6/17 11:46,16.8
2023/6/17 11:50,16.94
2023/6/17 11:55,16.54
2023/6/17 12:01,16.46
2023/6/17 12:05,17.11
2023/6/17 12:10,16.16
2023/6/17 12:15,16.33
2023/6/17 12:21,16.11
2023/6/17 12:26,16.35
2023/6/17 12:31,16.41
2023/6/17 12:36,16.85
2023/6/17 12:40,17.15
2023/6/17 12:45,16.81
2023/6/17 12:51,16.76
2023/6/17 12:56,16.97
2023/6/17 13:01,17.01
2023/6/17 13:05,17.44
2023/6/17 13:11,16.78
2023/6/17 13:16,16.86
2023/6/17 13:21,16.61
2023/6/17 13:26,16.85
2023/6/17 13:31,16.49
2023/6/17 13:36,16.42
2023/6/17 13:40,16.1
2023/6/17 13:46,16.19
2023/6/17 13:50,16.99
2023/6/17 13:55,15.83
2023/6/17 14:00,17.8
2023/6/17 14:06,16.13
2023/6/17 14:10,16.23
2023/6/17 14:16,17.11
2023/6/17 14:20,16.58
2023/6/17 14:25,16.9
2023/6/17 14:30,17.92
2023/6/17 14:36,16.51
2023/6/17 14:40,16.31
2023/6/17 14:45,18.33
2023/6/17 14:51,16.99
2023/6/17 14:56,17.26
2023/6/17 15:01,17.06
2023/6/17 15:06,16.73
2023/6/17 15:11,16.41
2023/6/17 15:16,16.52
2023/6/17 15:20,16.49
2023/6/17 15:26,16.57
2023/6/17 15:30,16.7
2023/6/17 15:35,16.55
2023/6/17 15:40,16.37
2023/6/17 15:45,17.65
2023/6/17 15:50,16.28
2023/6/17 15:56,16.32
2023/6/17 16:00,16.39
2023/6/17 16:06,16.87
2023/6/17 16:11,16.77
2023/6/17 16:15,16.75
2023/6/17 16:20,16.4
2023/6/17 16:25,16.33
2023/6/17 16:30,17.82
2023/6/17 16:36,17.48
2023/6/17 16:41,16.62
2023/6/17 16:46,16.56
2023/6/17 16:50,16.69
2023/6/17 16:55,16.76
2023/6/17 17:00,16.71
2023/6/17 17:06,16.74
2023/6/17 17:10,16.29
2023/6/17 17:15,16.4
2023/6/17 17:21,16.35
2023/6/17 17:26,16.25
2023/6/17 17:31,16.7
2023/6/17 17:36,16.98
2023/6/17 17:40,17.28
2023/6/17 17:45,17.42
2023/6/17 17:50,17.13
2023/6/17 17:55,17.16
2023/6/17 18:00,17.17
2023/6/17 18:05,17.62
2023/6/17 18:10,17.25
2023/6/17 18:16,17.18
2023/6/17 18:21,16.75
2023/6/17 18:26,16.84
2023/6/17 18:31,17.02
2023/6/17 18:36,17.15
2023/6/17 18:40,16.91
2023/6/17 18:46,16.95
2023/6/17 18:50,16.97
2023/6/17 18:56,17.17
2023/6/17 19:01,16.88
2023/6/17 19:05,17.11
2023/6/17 19:10,16.63
2023/6/17 19:15,16.72
2023/6/17 19:21,16.52
2023/6/17 19:25,16.42
2023/6/17 19:31,16.51
2023/6/17 19:36,16.62
2023/6/17 19:40,16.84
2023/6/17 19:45,16.93
2023/6/17 19:50,16.75
2023/6/17 19:56,17.1
2023/6/17 20:00,17.42
2023/6/17 20:05,17.26
2023/6/17 20:10,16.99
2023/6/17 20:15,16.98
2023/6/17 20:21,16.93
2023/6/17 20:25,16.81
2023/6/17 20:31,16.89
2023/6/17 20:35,16.95
2023/6/17 20:41,17.11
2023/6/17 20:45,16.9
2023/6/17 20:51,16.84
2023/6/17 20:56,17.63
2023/6/17 21:01,17.42
2023/6/17 21:06,17.74
2023/6/17 21:11,17.62
2023/6/17 21:15,17.7
2023/6/17 21:21,17.66
2023/6/17 21:26,17.55
2023/6/17 21:30,18.78
2023/6/17 21:35,17.59
2023/6/17 21:41,19.78
2023/6/17 21:46,17.99
2023/6/17 21:51,18.25
2023/6/17 21:55,17.87
2023/6/17 22:01,18.69
2023/6/17 22:06,19.97
2023/6/17 22:11,19.68
2023/6/17 22:15,19.64
2023/6/17 22:20,18.78
2023/6/17 22:26,22.31
2023/6/17 22:30,19
2023/6/17 22:35,19.15
2023/6/17 22:40,18.93
2023/6/17 22:45,18.55
2023/6/17 22:50,18.76
2023/6/17 22:55,18.6
2023/6/17 23:01,18.46
2023/6/17 23:05,19.18
2023/6/17 23:11,17.92
2023/6/17 23:16,18.15
2023/6/17 23:21,18.06
2023/6/17 23:26,17.82
2023/6/17 23:31,17.75
2023/6/17 23:36,17.48
2023/6/17 23:40,19.07
2023/6/17 23:46,16.59
2023/6/17 23:50,16.39
2023/6/17 23:56,16.29
2023/6/18 0:00,16.62
2023/6/18 0:06,17.3
2023/6/18 0:11,16.59
2023/6/18 0:16,16.23
2023/6/18 0:21,15.67
2023/6/18 0:26,15.24
2023/6/18 0:30,14.93
2023/6/18 0:35,14.46
2023/6/18 0:41,13.97
2023/6/18 0:45,13.73
2023/6/18 0:51,13.22
2023/6/18 0:55,12.84
2023/6/18 1:00,12.67
2023/6/18 1:05,13.7
2023/6/18 1:11,13.35
2023/6/18 1:15,15.09
2023/6/18 1:20,12.36
2023/6/18 1:25,12.07
2023/6/18 1:30,12.72
2023/6/18 1:36,11.35
2023/6/18 1:40,11.05
2023/6/18 1:45,10.75
2023/6/18 1:51,10.48
2023/6/18 1:56,10.26
2023/6/18 2:00,10.13
2023/6/18 2:06,9.83
2023/6/18 2:11,9.51
2023/6/18 2:16,9.52
2023/6/18 2:20,9.2
2023/6/18 2:25,8.91
2023/6/18 2:31,8.73
2023/6/18 2:35,8.35
2023/6/18 2:41,7.98
2023/6/18 2:45,7.89
2023/6/18 2:50,7.77
2023/6/18 2:56,7.59
2023/6/18 3:01,7.27
2023/6/18 3:05,7.16
2023/6/18 3:10,6.94
2023/6/18 3:15,6.66
2023/6/18 3:21,6.51
2023/6/18 3:26,6.36
2023/6/18 3:30,6.29
2023/6/18 3:35,6.19
2023/6/18 3:40,6
2023/6/18 3:45,5.86
2023/6/18 3:50,6.94
2023/6/18 3:55,5.68
2023/6/18 4:01,5.52
2023/6/18 4:06,5.46
2023/6/18 4:11,6.4
2023/6/18 4:16,5.33
2023/6/18 4:20,5.37
2023/6/18 4:26,5.22
2023/6/18 4:30,5.14
2023/6/18 4:35,5.19
2023/6/18 4:40,5.09
2023/6/18 4:45,5.03
2023/6/18 4:51,5.16
2023/6/18 4:55,5.15
2023/6/18 5:00,5.17
2023/6/18 5:06,5.59
