collect_time,cpu_util
2023/6/17 0:03,29.59
2023/6/17 0:08,31.96
2023/6/17 0:16,22.79
2023/6/17 0:22,21.08
2023/6/17 0:27,21.13
2023/6/17 0:32,20.72
2023/6/17 0:33,20.72
2023/6/17 0:37,20.94
2023/6/17 0:42,22.92
2023/6/17 0:47,25.28
2023/6/17 0:53,24.63
2023/6/17 0:57,23.04
2023/6/17 1:07,23.36
2023/6/17 1:08,57.81
2023/6/17 1:13,22.64
2023/6/17 1:17,23.3
2023/6/17 1:22,21.73
2023/6/17 1:28,22.19
2023/6/17 1:32,22.03
2023/6/17 1:42,21.27
2023/6/17 1:46,20.99
2023/6/17 1:48,20.22
2023/6/17 1:52,20.32
2023/6/17 1:58,20.16
2023/6/17 2:07,19.67
2023/6/17 2:13,19.49
2023/6/17 2:17,19.41
2023/6/17 2:23,19.11
2023/6/17 2:27,19.22
2023/6/17 2:32,18.86
2023/6/17 2:37,18.71
2023/6/17 2:47,18.19
2023/6/17 2:52,17.79
2023/6/17 3:02,17.5
2023/6/17 3:07,16.82
2023/6/17 3:12,16.82
2023/6/17 3:22,16.42
2023/6/17 3:27,16.23
2023/6/17 3:32,16.38
2023/6/17 3:36,16.31
2023/6/17 3:42,16.03
2023/6/17 3:47,16.68
2023/6/17 3:48,15.97
2023/6/17 3:57,16.01
2023/6/17 3:58,16.65
2023/6/17 4:02,15.92
2023/6/17 4:07,15.3
2023/6/17 4:12,15.26
2023/6/17 4:22,15.13
2023/6/17 4:30,15.21
2023/6/17 4:31,15.13
2023/6/17 4:40,16.2
2023/6/17 4:44,16.73
2023/6/17 4:47,16.13
2023/6/17 4:52,15.78
2023/6/17 4:56,15.85
2023/6/17 4:57,16.08
2023/6/17 5:02,16.06
2023/6/17 5:12,16.49
2023/6/17 5:13,16.59
2023/6/17 5:22,16.88
2023/6/17 5:23,16.46
2023/6/17 5:35,17.43
2023/6/17 5:39,18.34
2023/6/17 5:40,17.53
2023/6/17 5:43,18.41
2023/6/17 5:48,18.36
2023/6/17 5:56,18.86
2023/6/17 6:02,19.14
2023/6/17 6:08,20.12
2023/6/17 6:12,20.12
2023/6/17 6:18,20.48
2023/6/17 6:20,20.86
2023/6/17 6:28,21.73
2023/6/17 6:35,22.07
2023/6/17 6:39,21.42
2023/6/17 6:40,21.18
2023/6/17 6:47,21.66
2023/6/17 6:57,21.95
2023/6/17 7:01,22.25
2023/6/17 7:02,22.92
2023/6/17 7:08,23.14
2023/6/17 7:17,23.37
2023/6/17 7:19,22.66
2023/6/17 7:23,23.48
2023/6/17 7:32,23.09
2023/6/17 7:34,23.59
2023/6/17 7:38,24.14
2023/6/17 7:47,23.59
2023/6/17 7:48,27.81
2023/6/17 7:53,23.62
2023/6/17 7:58,24.09
2023/6/17 8:08,24.32
2023/6/17 8:17,24.17
2023/6/17 8:28,24
