collect_time,cpu_util
2023/6/17 0:00,11.95
2023/6/17 0:05,15.58
2023/6/17 0:10,12
2023/6/17 0:15,13.19
2023/6/17 0:20,57.24
2023/6/17 0:25,69.3
2023/6/17 0:30,69.37
2023/6/17 0:35,79.88
2023/6/17 0:40,86.24
2023/6/17 0:45,85.07
2023/6/17 0:50,80.51
2023/6/17 0:55,84.93
2023/6/17 1:00,84.93
2023/6/17 1:05,82.62
2023/6/17 1:10,86.71
2023/6/17 1:15,87.02
2023/6/17 1:20,80.17
2023/6/17 1:25,66.71
2023/6/17 1:30,67.74
2023/6/17 1:35,71.93
2023/6/17 1:40,77.14
2023/6/17 1:45,83.23
2023/6/17 1:50,84.41
2023/6/17 1:55,80.49
2023/6/17 2:00,82.9
2023/6/17 2:05,76.87
2023/6/17 2:10,85.08
2023/6/17 2:15,79.63
2023/6/17 2:20,78.73
2023/6/17 2:25,67.66
2023/6/17 2:30,65.43
2023/6/17 2:35,77.32
2023/6/17 2:40,62.43
2023/6/17 2:45,51.82
2023/6/17 2:50,34.76
2023/6/17 2:55,20.97
2023/6/17 3:00,23.83
2023/6/17 3:05,17.19
2023/6/17 3:10,24.12
2023/6/17 3:15,17.95
2023/6/17 3:20,43.54
2023/6/17 3:25,12.68
2023/6/17 3:30,7.87
2023/6/17 3:35,19.06
2023/6/17 3:40,19.97
2023/6/17 3:45,11.5
2023/6/17 3:50,12.76
2023/6/17 3:55,11.37
2023/6/17 4:00,13.12
2023/6/17 4:05,16.02
2023/6/17 4:10,13.98
2023/6/17 4:15,13.22
2023/6/17 4:20,13.34
2023/6/17 4:25,13.02
2023/6/17 4:30,14.24
2023/6/17 4:35,15.96
2023/6/17 4:40,24.33
2023/6/17 4:45,27.73
2023/6/17 4:50,17
2023/6/17 4:55,15.91
2023/6/17 5:00,11.44
2023/6/17 5:05,11.2
2023/6/17 5:10,10.39
2023/6/17 5:15,28.42
2023/6/17 5:20,31.98
2023/6/17 5:25,37.39
2023/6/17 5:30,9.21
2023/6/17 5:35,17.61
2023/6/17 5:40,27.43
2023/6/17 5:45,23.78
2023/6/17 5:50,21.29
2023/6/17 5:55,19.21
2023/6/17 6:00,11.09
2023/6/17 6:05,10.96
2023/6/17 6:10,11.93
2023/6/17 6:15,14.96
2023/6/17 6:20,19.42
2023/6/17 6:25,14.16
2023/6/17 6:30,13.14
2023/6/17 6:35,18.55
2023/6/17 6:40,22.37
2023/6/17 6:45,32.22
2023/6/17 6:50,41.65
2023/6/17 6:55,27.93
2023/6/17 7:00,27.74
2023/6/17 7:05,31.8
2023/6/17 7:10,45.48
2023/6/17 7:15,54.62
2023/6/17 7:20,43.49
2023/6/17 7:25,33.4
2023/6/17 7:30,27.28
2023/6/17 7:35,48.16
2023/6/17 7:40,63.54
2023/6/17 7:45,65.38
2023/6/17 7:50,70.66
2023/6/17 7:55,63.82
2023/6/17 8:00,40.98
