collect_time,cpu_util
2023/6/17 0:01,27.11
2023/6/17 0:06,27.52
2023/6/17 0:11,27.05
2023/6/17 0:15,26.34
2023/6/17 0:21,25.72
2023/6/17 0:26,26.64
2023/6/17 0:31,27.22
2023/6/17 0:35,27.24
2023/6/17 0:41,25.53
2023/6/17 0:46,27.05
2023/6/17 0:51,27.08
2023/6/17 0:56,26.7
2023/6/17 1:01,26.62
2023/6/17 1:05,24.39
2023/6/17 1:10,27.42
2023/6/17 1:16,27.07
2023/6/17 1:21,26.81
2023/6/17 1:25,24.81
2023/6/17 1:31,26.33
2023/6/17 1:36,27.16
2023/6/17 1:40,27.09
2023/6/17 1:46,25.84
2023/6/17 1:51,25.69
2023/6/17 1:55,26.71
2023/6/17 2:01,27.57
2023/6/17 2:06,27.56
2023/6/17 2:10,26.98
2023/6/17 2:16,25.47
2023/6/17 2:21,26.68
2023/6/17 2:26,27.07
2023/6/17 2:31,27
2023/6/17 2:36,26.53
2023/6/17 2:41,25.28
2023/6/17 2:46,27
2023/6/17 2:51,26.8
2023/6/17 2:56,27.11
2023/6/17 3:01,26.32
2023/6/17 3:06,25.03
2023/6/17 3:11,27.86
2023/6/17 3:16,26.88
2023/6/17 3:20,27.41
2023/6/17 3:26,26.84
2023/6/17 3:31,25.12
2023/6/17 3:36,27.73
2023/6/17 3:41,27.27
2023/6/17 3:46,27.27
2023/6/17 3:51,25.23
2023/6/17 3:56,26.85
2023/6/17 4:01,26.86
2023/6/17 4:06,27.09
2023/6/17 4:11,27.12
2023/6/17 4:16,25.14
2023/6/17 4:21,26.75
2023/6/17 4:26,27
2023/6/17 4:31,27.25
2023/6/17 4:36,26.77
2023/6/17 4:41,25.18
2023/6/17 4:46,28.08
2023/6/17 4:51,27.21
2023/6/17 4:56,27.19
2023/6/17 5:01,26.53
2023/6/17 5:06,26.14
2023/6/17 5:11,27.9
2023/6/17 5:16,27.14
2023/6/17 5:21,27.07
2023/6/17 5:26,26.09
2023/6/17 5:30,26.66
2023/6/17 5:35,27.44
2023/6/17 5:41,26.98
2023/6/17 5:46,26.46
2023/6/17 5:51,24.9
2023/6/17 5:56,27.8
2023/6/17 6:01,27.06
2023/6/17 6:05,26.82
2023/6/17 6:11,25.29
2023/6/17 6:16,25.77
2023/6/17 6:20,27.38
2023/6/17 6:26,26.55
2023/6/17 6:31,26.48
2023/6/17 6:36,25.59
2023/6/17 6:41,26.55
2023/6/17 6:46,27.24
2023/6/17 6:51,27.29
2023/6/17 6:55,26.81
2023/6/17 7:01,24.95
2023/6/17 7:05,27.15
2023/6/17 7:11,26.72
2023/6/17 7:16,27.06
2023/6/17 7:21,26.48
2023/6/17 7:26,24.16
2023/6/17 7:31,26.9
2023/6/17 7:35,26.89
2023/6/17 7:41,26.88
2023/6/17 7:46,26.05
2023/6/17 7:50,25.95
2023/6/17 7:56,27.74
2023/6/17 8:01,26.74
2023/6/17 8:06,26.44
2023/6/17 8:11,25.43
2023/6/17 8:16,26.12
2023/6/17 8:20,27.3
2023/6/17 8:26,26.62
2023/6/17 8:31,26.25
2023/6/17 8:36,25.48
2023/6/17 8:41,27.16
2023/6/17 8:46,26.84
2023/6/17 8:51,27.25
2023/6/17 8:56,26.64
2023/6/17 9:01,25.08
2023/6/17 9:06,27.62
2023/6/17 9:11,26.99
2023/6/17 9:16,26.92
2023/6/17 9:21,25.42
2023/6/17 9:26,26.1
2023/6/17 9:31,26.77
2023/6/17 9:36,27.37
2023/6/17 9:41,27.28
2023/6/17 9:46,25.45
2023/6/17 9:50,27.01
2023/6/17 9:56,27.6
2023/6/17 10:01,27.18
2023/6/17 10:06,26.38
2023/6/17 10:10,25.7
2023/6/17 10:16,27.59
2023/6/17 10:21,26.85
2023/6/17 10:26,26.34
2023/6/17 10:31,25.63
2023/6/17 10:36,26.72
2023/6/17 10:41,27.14
2023/6/17 10:46,27.29
2023/6/17 10:50,27.23
2023/6/17 10:56,25.11
2023/6/17 11:01,27.68
2023/6/17 11:05,27.37
2023/6/17 11:11,27.34
2023/6/17 11:16,26.28
2023/6/17 11:21,25.58
2023/6/17 11:26,27.16
2023/6/17 11:31,27.14
2023/6/17 11:36,27.49
2023/6/17 11:41,25.95
2023/6/17 11:45,26.67
2023/6/17 11:50,27.35
2023/6/17 11:56,26.95
2023/6/17 12:01,25.98
2023/6/17 12:06,26.07
2023/6/17 12:11,27.13
2023/6/17 12:16,26.96
2023/6/17 12:21,26.84
2023/6/17 12:26,25.07
2023/6/17 12:30,25.52
2023/6/17 12:36,26.54
2023/6/17 12:41,19.12
2023/6/17 12:46,5.12
2023/6/17 12:51,4.92
2023/6/17 12:56,4.83
2023/6/17 13:01,4.69
2023/6/17 13:06,4.54
2023/6/17 13:11,4.65
2023/6/17 13:15,4.86
2023/6/17 13:21,4.88
2023/6/17 13:26,4.04
2023/6/17 13:31,4.87
2023/6/17 13:36,5.79
2023/6/17 13:41,6.27
2023/6/17 13:46,7.31
2023/6/17 13:51,6.72
2023/6/17 13:56,7.47
2023/6/17 14:01,7.54
2023/6/17 14:06,7.46
2023/6/17 14:11,7.45
2023/6/17 14:16,7.38
2023/6/17 14:21,7.18
2023/6/17 14:26,20
2023/6/17 14:31,32.71
2023/6/17 14:36,43.3
2023/6/17 14:41,49.73
2023/6/17 14:46,56.31
2023/6/17 14:51,51.39
2023/6/17 14:56,53.24
2023/6/17 15:01,53.34
2023/6/17 15:06,55.35
2023/6/17 15:11,51.61
2023/6/17 15:16,52.75
2023/6/17 15:20,54.89
2023/6/17 15:26,56.09
2023/6/17 15:30,56.14
2023/6/17 15:36,57.2
2023/6/17 15:41,55.88
2023/6/17 15:46,54.55
2023/6/17 15:51,58.86
2023/6/17 15:56,54.51
2023/6/17 16:01,59.18
2023/6/17 16:05,53.38
2023/6/17 16:11,52.93
2023/6/17 16:16,55.44
2023/6/17 16:21,59.06
2023/6/17 16:26,53.4
2023/6/17 16:31,58.49
2023/6/17 16:36,52.39
2023/6/17 16:40,52.27
2023/6/17 16:45,58.04
2023/6/17 16:51,53.53
2023/6/17 16:56,54.93
2023/6/17 17:01,55.94
2023/6/17 17:06,53.03
2023/6/17 17:11,54.14
2023/6/17 17:16,55.73
2023/6/17 17:21,57.6
2023/6/17 17:26,56.96
2023/6/17 17:31,54.3
2023/6/17 17:36,52.89
2023/6/17 17:41,39.57
2023/6/17 17:46,7.76
2023/6/17 17:51,8.2
2023/6/17 17:55,20.57
2023/6/17 18:01,37.18
2023/6/17 18:06,41.07
2023/6/17 18:10,7.98
2023/6/17 18:16,11.32
2023/6/17 18:21,16.39
2023/6/17 18:26,25.53
2023/6/17 18:31,26.26
2023/6/17 18:36,43.24
2023/6/17 18:40,55.29
2023/6/17 18:46,40.55
2023/6/17 18:51,33.5
2023/6/17 18:56,49.25
2023/6/17 19:01,26.38
2023/6/17 19:06,26.19
2023/6/17 19:11,25.94
2023/6/17 19:16,26.23
2023/6/17 19:21,26.09
2023/6/17 19:26,25.61
2023/6/17 19:31,26.48
2023/6/17 19:36,34.65
2023/6/17 19:41,34.05
2023/6/17 19:46,25.71
2023/6/17 19:51,26.29
2023/6/17 19:55,26.41
2023/6/17 20:01,26.23
